Label,Northing,Easting,Elevation
45101,4476058.937,339374.296,2181.173
45102,4476067.885,339383.847,2181.033
45103,4476076.219,339394.6,2181.385
45104,4476087.835,339408.539,2181.629
45105,4476099.184,339414.171,2181.774
45106,4476112.236,339419.198,2181.686
45107,4476126.042,339423.691,2181.786
45108,4476140.832,339427.593,2181.307
45109,4476155.231,339431.122,2181.366
45110,4476170.865,339435.871,2181.959
45111,4476184.729,339440.052,2182.41
45112,4476198.076,339443.718,2182.264
45113,4476212.143,339448.074,2181.778
45114,4476226.017,339451.521,2180.995
45115,4476241.262,339456.05,2180.307
45116,4476255.851,339460.2,2179.97
45117,4476273.9,339458.215,2179.567
45118,4476289.787,339452.957,2179.591
45119,4476306.626,339439.938,2179.49
45120,4476312.475,339433.698,2179.226
45121,4476323.389,339423.257,2178.6
45122,4476335.671,339412.945,2178.295
45123,4476345.985,339402.44,2178.044
45124,4476359.992,339395.039,2177.744
45125,4476368.124,339385.262,2177.728
45126,4476381.551,339376.575,2177.144
45127,4476393.746,339365.965,2176.934
45128,4476405.055,339358.334,2177.735
45129,4476416.904,339349.539,2177.473
45130,4476429.048,339340.373,2176.946
45131,4476441.65,339330.452,2176.371
45132,4476453.833,339320.741,2175.883
45133,4476463.377,339311.82,2175.729
45134,4476475.322,339303.761,2174.814
45135,4476486.598,339293.953,2174.451
45136,4476499.893,339284.799,2174.747
45137,4476511.628,339276.434,2175.468
45138,4476524.965,339267.915,2175.828
45139,4476536.742,339259.352,2175.385
45140,4476550.91,339252.242,2174.009
45141,4476564.065,339242.852,2174.027
45142,4476575.783,339235.458,2173.928
45143,4476590.504,339228.857,2173.722
45144,4476606.802,339224.812,2173.383
45145,4476621.063,339224.627,2173.594
45146,4476634.89,339224.366,2173.339
45147,4476648.659,339224.027,2173.402
45148,4476662.71,339224.116,2173.488
45149,4476677.693,339224.582,2173.501
45150,4476693.007,339224.72,2173.468
45151,4476708.672,339224.519,2173.105
45152,4476723.149,339224.434,2172.474
45153,4476737.956,339224.659,2172.171
45154,4476753.709,339224.409,2172.186
45155,4476767.646,339223.954,2171.995
45156,4476783.249,339223.182,2172.198
45157,4476798.645,339223.55,2172.324
45158,4476812.387,339222.38,2172.068
45159,4476828.715,339221.815,2171.548
45160,4476842.167,339220.729,2171.139
45161,4476857.286,339219.446,2170.83
45162,4476871.894,339217.553,2170.469
45163,4476887.27,339213.711,2169.453
45164,4476897.843,339210.09,2168.683
45165,4476913.679,339204.656,2167.845
45166,4476925.995,339197.59,2167.214
45167,4476941.525,339189.038,2166.681
45168,4476952.243,339180.966,2166.193
45169,4476964.272,339172.582,2165.693
45170,4476977.607,339161.701,2165.314
45171,4476989.385,339144.037,2164.567
45172,4476994.36,339134.782,2164.028
45173,4476999.887,339122.687,2163.599
45174,4477007.083,339107.765,2163.425
45175,4477011.442,339094.56,2163.092
45176,4477013.836,339078.967,2162.242
45177,4477016.212,339062.85,2161.572
45178,4477018.9,339048.53,2160.974
45179,4477021.255,339032.915,2160.04
45180,4477022.603,339020.325,2159.076
45181,4477027.65,339005.724,2158.243
45182,4477034.07,338991.46,2157.558
45183,4477040.129,338980.007,2157.16
45184,4477044.06,338962.168,2157.079
45185,4477063.39,338956.746,2156.609
45186,4477075.804,338950.999,2156.545
45187,4477086.933,338944.606,2156.286
45188,4477100.415,338935.118,2155.897
45189,4477113.079,338925.266,2155.312
45190,4477125.011,338916.017,2154.891
45192,4477151.203,338897.221,2154.796
45194,4477172.719,338879.548,2154.121
45196,4477195.14,338857.996,2152.608
45198,4477218.032,338832.682,2152.318
45200,4477239.083,338818.122,2151.562
45202,4477264.566,338809.261,2150.787
45204,4477291.326,338802.273,2149.585
45206,4477333.075,338793.387,2147.531
45208,4477359.219,338789.942,2146.302
45210,4477385.409,338780.905,2145.066
45212,4477409.424,338763.308,2144.187
45214,4477439.066,338756.436,2143.307
45216,4477465.594,338756.515,2143.441
45218,4477494.995,338757.597,2143.59
45220,4477512.841,338737.101,2142.982
45222,4477537.626,338712.923,2141.999
45224,4477556.342,338705.284,2141.168
45226,4477588.937,338706.26,2139.215
