Label,Northing,Easting,Elevation
43146,4476891.924,334710.426,2092.175
43146.2,4476891.925,334710.427,2092.207
43147,4476891.981,334723.782,2092.432
43148,4476891.643,334737.901,2092.792
43149,4476891.09,334760.681,2094.144
43150,4476890.765,334770.929,2094.868
43151,4476890.855,334784.462,2095.361
43152,4476890.737,334798.602,2095.516
43153,4476891.186,334814.649,2095.808
43154,4476890.859,334829.716,2096.5
43155,4476891.162,334843.93,2096.939
43156,4476890.653,334860.921,2097.375
43157,4476891.854,334874.883,2097.568
43158,4476892.618,334889.624,2097.723
43159,4476891.497,334902.098,2098.078
43160,4476892.005,334918.677,2098.165
43161,4476891.613,334938.122,2098.001
43162,4476892.066,334952.745,2097.863
43163,4476889.123,334967.784,2099.27
43164,4476892.364,334982.075,2099.059
43165,4476890.585,334996.655,2099.895
43166,4476890.456,335012.099,2100.243
43167,4476890.642,335027.698,2099.985
43168,4476891.124,335043.002,2099.529
43169,4476889.542,335056.382,2099.644
43170,4476890.286,335071.689,2099.4
43171,4476890.609,335086.44,2099.505
43172,4476890.528,335099.866,2099.423
43173,4476889.355,335115.022,2099.523
43174,4476889.274,335129.178,2099.269
43175,4476889.064,335144.068,2098.843
43176,4476888.871,335156.507,2098.364
43177,4476888.635,335171.763,2097.703
43178,4476890.761,335186.685,2095.364
43179,4476891.568,335201.578,2094.054
43180,4476889.954,335216.709,2094.144
43181,4476886.977,335231.649,2095.732
43182,4476886.935,335248.078,2095.949
43183,4476887.498,335263.602,2097.128
43184,4476887.213,335280.556,2097.88
43185,4476885.961,335299.375,2098.119
43186,4476885.133,335313.232,2098.954
43187,4476883.233,335330.332,2100.139
43188,4476883.345,335345.252,2100.889
43189,4476879.816,335356.079,2101.611
43190,4476876.794,335370.853,2102.878
43191,4476874.331,335383.644,2103.711
43192,4476871.154,335399.307,2104.379
43193,4476868.176,335414.923,2104.951
43194,4476864.486,335430.941,2105.135
43195,4476862.178,335439.479,2105.265
43196,4476858.049,335454.431,2105.408
43197,4476854.282,335469.517,2105.408
43198,4476850.286,335483.359,2105.043
43199,4476846.111,335499.199,2104.817
43200,4476841.665,335513.56,2104.049
43201,4476836.247,335527.253,2103.554
43202,4476831.628,335542.568,2103.453
43203,4476821.52,335556.677,2103.412
43204,4476808.364,335567.116,2103.979
43205,4476800.306,335573.919,2104.227
43206,4476785.297,335582.777,2104.557
43207,4476772.091,335587.813,2104.865
43208,4476755.398,335592.576,2105.569
43209,4476740.009,335594.652,2106.46
