Label,Northing,Easting,Elevation
45385,4479579.15,337651.532,2078.51
45387,4479587.922,337620.596,2077.946
45389,4479608.554,337598.425,2077.482
45391,4479637.194,337583.732,2076.367
45393,4479662.548,337566.96,2076.291
45395,4479687.946,337545.553,2076.294
45397,4479711.262,337532.562,2077.127
45399,4479736.292,337516.299,2077.082
45401,4479766.987,337496.07,2078.024
45403,4479786.762,337479.05,2078.345
45405,4479811.412,337459.661,2078.046
45407,4479831.168,337439.997,2076.596
45409,4479853.124,337422.741,2074.947
45411,4479876.437,337409.65,2074.09
45413,4479905.72,337396.023,2072.424
45415,4479931.941,337382.566,2071.621
45417,4479958.888,337370.009,2070.788
45419,4480003.703,337366.753,2069.841
45419-1,4479990.401,337371.527,2070.807
45421,4480019.245,337366.9,2069.411
45423,4480047.647,337363.24,2069.199
45425,4480077.29,337348.755,2069.033
45427,4480103.899,337338.416,2068.758
45429,4480130.604,337330.207,2068.286
45431,4480163.962,337324.29,2067.046
45433,4480187.261,337311.445,2066.767
45435,4480214.572,337290.304,2066.164
45437,4480239.787,337275.697,2066.108
45439,4480268.488,337266.987,2066.348
45441,4480297.937,337254.982,2065.956
45443,4480323.655,337243.872,2065.42
45445,4480350.166,337232.628,2064.164
45447,4480378.702,337221.194,2064.79
45449,4480405.301,337209.492,2064.265
45451,4480434.522,337196.261,2063.197
45453,4480463.741,337182.944,2062.625
45455,4480488.767,337170.223,2061.922
45457,4480517.228,337154.657,2061.325
45459,4480541.77,337148.059,2060.992
45461,4480571.499,337140.368,2060.296
45463,4480597.992,337129.389,2060.005
45465,4480624.919,337117.078,2059.294
45467,4480652.465,337103.241,2058.103
45469,4480678.384,337087.826,2057.85
45471,4480703.104,337072.033,2057.656
45473,4480731.172,337058.162,2057.338
45475,4480761.611,337056.406,2055.476
45477,4480790.657,337051.773,2056.464
45479,4480820.771,337054.668,2055.965
45481,4480851.57,337055.093,2055.103
45483,4480882.09,337059.42,2053.98
45485,4480906.511,337058.607,2053.129
45487,4480936.426,337058.243,2052.638
45489,4480958.232,337056.908,2052.453
45491,4480990.656,337054.935,2051.566
45493,4481027.036,337051.991,2051.488
45495,4481060.43,337048.499,2051.192
45497,4481089.8,337043.081,2050.562
45499,4481117.301,337039.731,2050.261
45501,4481149.907,337036.419,2049.987
45503,4481178.194,337037.576,2049.528
45505,4481208.758,337026.279,2049.808
45507,4481238.048,337016.24,2049.484
45509,4481265.15,337002.683,2049.643
45511,4481291.032,336990.354,2049.341
45513,4481321.02,336975.77,2049.657
45515,4481344.237,336963.529,2049.786
45517,4481365.865,336939.735,2049.572
45519,4481383.315,336915.49,2049.328
45521,4481405.486,336888.035,2048.224
45523,4481421.507,336867.252,2047.758
45525,4481437.814,336845.21,2047.901
45527,4481457.247,336819.397,2047.391
45529,4481473.552,336798.464,2046.081
45530,4481483.589,336785.175,2046.415
45531,4481495.921,336776.692,2049.406
45220,4477512.591,338737.329,2157.836
45221,4477520.598,338725.045,2157.782
45222,4477537.311,338713.19,2156.8
45223,4477546.96,338708.341,2156.441
45224,4477556.039,338705.548,2155.962
45225,4477571.57,338704.547,2154.841
45226,4477588.656,338706.537,2154.04
45227,4477604.461,338707.213,2153.047
45228,4477619.942,338707.37,2151.412
45229,4477634.54,338705.982,2150.983
45230,4477647.864,338703.791,2150.666
45231,4477659.034,338697.438,2150.693
45232,4477666.587,338681.406,2150.447
45233,4477681.639,338672.194,2149.379
45234,4477688.711,338658.709,2148.546
45235,4477689.877,338636.377,2147.803
45236,4477695.415,338620.296,2147.474
45237,4477703.245,338607.625,2147.399
45238,4477714.923,338598.055,2147.116
45239,4477729.596,338592.061,2146.527
45240,4477744.621,338587.017,2146.087
45241,4477755.73,338583.086,2145.397
45242,4477777.112,338578.131,2145.229
