Name,X,Y,Z
43272,335924.421,4475959.972,2133.411
43273,335937.777,4475951.127,2134.071
43274,335948.841,4475943.334,2134.722
43275,335960.544,4475935.173,2135.338
43276,335974.695,4475926.611,2136.022
43277,335987.945,4475919.112,2136.661
43278,336001.616,4475912.607,2137.243
43279,336016.463,4475906.468,2138.002
43280,336030.717,4475902.272,2139.102
43281,336045.085,4475898.62,2140.166
43282,336059.574,4475895.485,2141.103
43283,336073.03,4475892.628,2141.648
43284,336088.588,4475889.961,2142.389
43285,336102.482,4475888.438,2142.954
43286,336116.918,4475887.421,2143.648
43287,336132.523,4475886.255,2143.746
43288,336147.964,4475888.092,2144.468
43289,336161.881,4475890.165,2144.394
43290,336175.31,4475895.146,2144.451
43291,336187.063,4475903.422,2144.723
43292,336200.153,4475911.381,2143.979
43293,336212.576,4475919.823,2143.577
43294,336223.727,4475927.755,2143.499
43295,336235.069,4475936.281,2143.789
43296,336250.067,4475947.784,2144.764
43297,336264.003,4475956.364,2146.338
43298,336274.8,4475963.7,2147.4435
43299,336292.026,4475961.971,2148.549
43300,336304.832,4475970.491,2149.611
43301,336314.003,4475990.91,2150.747
43302,336326.382,4476002.376,2151.857
43303,336337.888,4476012.779,2152.099
43304,336349.115,4476022.724,2152.629
43305,336360.985,4476032.104,2152.723
43306,336372.671,4476040.855,2152.812
43307,336384.857,4476049.75,2152.753
43308,336396.852,4476056.232,2153.052
43309,336411.499,4476063.967,2153.996
43310,336423.173,4476071.884,2155.385
43311,336438.375,4476074.998,2156.272
43312,336452.471,4476075.646,2157.418
43313,336469.314,4476073.64,2159.247
43314,336483.319,4476071.879,2160.616
43315,336497.969,4476069.861,2162.308
43316,336511.986,4476068.574,2163.847
43317,336528.133,4476067.678,2165.17
43318,336545.384,4476068.161,2166.139
43319,336558.751,4476068.542,2166.734
43320,336571.911,4476069.668,2167.368
43321,336587.642,4476070.921,2168.062
43322,336602.847,4476072.005,2169.048
43323,336617.512,4476073.92,2169.998
43324,336634.912,4476074.054,2170.319
43325,336649.094,4476072.497,2170.478
43326,336663.677,4476068.752,2170.607
43327,336677.667,4476064.46,2171.044
43328,336693.152,4476055.586,2171.488
43329,336704.083,4476049.085,2172.018
43330,336717.48,4476040.969,2173.289
43331,336728.557,4476032.027,2173.566
43332,336739.611,4476021.132,2173.98
43333,336749.287,4476008.743,2174.147
43334,336757.479,4475996.012,2174.459
43335,336763.648,4475979.833,2174.773
43336,336767.753,4475966.081,2174.972
43337,336770.089,4475950.988,2175.557
43338,336772.712,4475934.541,2176.369
43339,336774.903,4475920.365,2176.87
43340,336780.488,4475905.455,2177.698
43341,336787.912,4475893.931,2178.579
43342,336796.735,4475883.307,2179.568
43343,336807.357,4475872.745,2180.537
43344,336820.451,4475861.995,2181.865
43345,336832.163,4475855.58,2183.196
43346,336847.26,4475850.888,2184.543
43347,336859.1,4475848.17,2185.464
43348,336875.451,4475845.195,2186.747
43349,336891.356,4475842.594,2187.892
43350,336907.606,4475839.505,2189.167
43351,336919.36,4475836.896,2190.113
43352,336933.004,4475834.798,2191.124
43353,336949.249,4475832.058,2192.293
43354,336963.158,4475828.911,2193.495
43355,336980.119,4475825.568,2194.611
43356,336993.859,4475822.546,2196.09
