Label,Northing,Easting,Elevation,Source
43232,4476395.626,335604.752,2109.567,r219_05-19
43231,4476408.536,335605.627,2109.263,r219_05-19
43230,4476424.589,335606.98,2108.833,r219_05-19
43229,4476441.315,335608.039,2108.399,r219_05-19
43312,4476075.646,336452.471,2157.418,r319_05-19
43313,4476073.64,336469.314,2159.247,r319_05-19
43314,4476071.879,336483.319,2160.616,r319_05-19
43315,4476069.861,336497.969,2162.308,r319_05-19
43316,4476068.574,336511.986,2163.847,r319_05-19
43317,4476067.678,336528.133,2165.17,r319_05-19
43318,4476068.161,336545.384,2166.139,r319_05-19
43319,4476068.542,336558.751,2166.734,r319_05-19
43320,4476069.668,336571.911,2167.368,r319_05-19
43321,4476070.921,336587.642,2168.062,r319_05-19
43322,4476072.005,336602.847,2169.048,r319_05-19
43323,4476073.92,336617.512,2169.998,r319_05-19
43324,4476074.054,336634.912,2170.319,r319_05-19
43325,4476072.497,336649.094,2170.478,r319_05-19
43326,4476068.752,336663.677,2170.607,r319_05-19
43327,4476064.46,336677.667,2171.044,r319_05-19
43328,4476055.586,336693.152,2171.488,r319_05-19
43329,4476049.085,336704.083,2172.018,r319_05-19
43330,4476040.969,336717.48,2173.289,r319_05-19
43331,4476032.027,336728.557,2173.566,r319_05-19
43332,4476021.132,336739.611,2173.98,r319_05-19
43333,4476008.743,336749.287,2174.147,r319_05-19
43334,4475996.012,336757.479,2174.459,r319_05-19
43335,4475979.833,336763.648,2174.773,r319_05-19
43336,4475966.081,336767.753,2174.972,r319_05-19
43337,4475950.988,336770.089,2175.557,r319_05-19
43338,4475934.541,336772.712,2176.369,r319_05-19
43339,4475920.365,336774.903,2176.87,r319_05-19
43340,4475905.455,336780.488,2177.698,r319_05-19
43341,4475893.931,336787.912,2178.579,r319_05-19
43342,4475883.307,336796.735,2179.568,r319_05-19
43343,4475872.745,336807.357,2180.537,r319_05-19
43344,4475861.995,336820.451,2181.865,r319_05-19
43345,4475855.58,336832.163,2183.196,r319_05-19
43346,4475850.888,336847.26,2184.543,r319_05-19
43347,4475848.17,336859.1,2185.464,r319_05-19
43348,4475845.195,336875.451,2186.747,r319_05-19
43349,4475842.594,336891.356,2187.892,r319_05-19
43350,4475839.505,336907.606,2189.167,r319_05-19
43351,4475836.896,336919.36,2190.113,r319_05-19
43352,4475834.798,336933.004,2191.124,r319_05-19
43353,4475832.058,336949.249,2192.293,r319_05-19
43354,4475828.911,336963.158,2193.495,r319_05-19
43355,4475825.568,336980.119,2194.611,r319_05-19
43356,4475822.546,336993.859,2196.09,r319_05-19
43357,4475819.54,337009.988,2197.426,r319_05-19
43358,4475817.432,337022.616,2198.544,r319_05-19
43359,4475814.01,337037.123,2200.123,r319_05-19
43360,4475811.721,337051.172,2201.446,r319_05-19
43361,4475810.684,337066.496,2202.529,r319_05-19
43362,4475810.774,337082.871,2203.9,r319_05-19
43363,4475811.928,337097.442,2204.888,r319_05-19
43364,4475813.632,337116.622,2206.399,r319_05-19
43365,4475815.937,337131.476,2207.275,r319_05-19
43366,4475818.262,337145.448,2208.306,r319_05-19
43367,4475819.742,337156.177,2209.174,r319_05-19
43368,4475822.897,337171.411,2210.045,r319_05-19
43369,4475825.238,337186.731,2211.333,r319_05-19
43370,4475826.644,337199.633,2212.681,r319_05-19
43371,4475828.666,337215.397,2214.218,r319_05-19
43372,4475831.349,337231.183,2215.628,r319_05-19
43373,4475833.962,337246.429,2216.817,r319_05-19
43374,4475835.844,337261.446,2218.271,r319_05-19
43375,4475837.478,337275.893,2219.595,r319_05-19
43376,4475839.811,337291.525,2220.865,r319_05-19
43377,4475842.058,337307.612,2222.115,r319_05-19
43378,4475844.463,337321.37,2223.357,r319_05-19
