Label,Northing,Easting,Elevation
43312,4476075.646,336452.471,2157.418
43313,4476073.64,336469.314,2159.247
43314,4476071.879,336483.319,2160.616
43315,4476069.861,336497.969,2162.308
43316,4476068.574,336511.986,2163.847
43317,4476067.678,336528.133,2165.17
43318,4476068.161,336545.384,2166.139
43319,4476068.542,336558.751,2166.734
43320,4476069.668,336571.911,2167.368
43321,4476070.921,336587.642,2168.062
43322,4476072.005,336602.847,2169.048
43323,4476073.92,336617.512,2169.998
43324,4476074.054,336634.912,2170.319
43325,4476072.497,336649.094,2170.478
43326,4476068.752,336663.677,2170.607
43327,4476064.46,336677.667,2171.044
43328,4476055.586,336693.152,2171.488
43329,4476049.085,336704.083,2172.018
43330,4476040.969,336717.48,2173.289
43331,4476032.027,336728.557,2173.566
43332,4476021.132,336739.611,2173.98
43333,4476008.743,336749.287,2174.147
43334,4475996.012,336757.479,2174.459
43335,4475979.833,336763.648,2174.773
43336,4475966.081,336767.753,2174.972
43337,4475950.988,336770.089,2175.557
43338,4475934.541,336772.712,2176.369
43339,4475920.365,336774.903,2176.87
43340,4475905.455,336780.488,2177.698
43341,4475893.931,336787.912,2178.579
43342,4475883.307,336796.735,2179.568
43343,4475872.745,336807.357,2180.537
43344,4475861.995,336820.451,2181.865
43345,4475855.58,336832.163,2183.196
43346,4475850.888,336847.26,2184.543
43347,4475848.17,336859.1,2185.464
43348,4475845.195,336875.451,2186.747
43349,4475842.594,336891.356,2187.892
43350,4475839.505,336907.606,2189.167
43351,4475836.896,336919.36,2190.113
43352,4475834.798,336933.004,2191.124
43353,4475832.058,336949.249,2192.293
43354,4475828.911,336963.158,2193.495
43355,4475825.568,336980.119,2194.611
43356,4475822.546,336993.859,2196.09
43357,4475819.54,337009.988,2197.426
43358,4475817.432,337022.616,2198.544
43359,4475814.01,337037.123,2200.123
43360,4475811.721,337051.172,2201.446
43361,4475810.684,337066.496,2202.529
43362,4475810.774,337082.871,2203.9
43363,4475811.928,337097.442,2204.888
43364,4475813.632,337116.622,2206.399
43365,4475815.937,337131.476,2207.275
43366,4475818.262,337145.448,2208.306
43367,4475819.742,337156.177,2209.174
43368,4475822.897,337171.411,2210.045
43369,4475825.238,337186.731,2211.333
43370,4475826.644,337199.633,2212.681
43371,4475828.666,337215.397,2214.218
43372,4475831.349,337231.183,2215.628
43373,4475833.962,337246.429,2216.817
43374,4475835.844,337261.446,2218.271
43375,4475837.478,337275.893,2219.595
43376,4475839.811,337291.525,2220.865
43377,4475842.058,337307.612,2222.115
43378,4475844.463,337321.37,2223.357
43379,4475847.723,337336.719,2224.642
43380,4475850.588,337351.794,2225.811
43381,4475852.723,337365.628,2227.067
43382,4475855.009,337381.337,2228.253
43383,4475857.544,337396.733,2229.735
43384,4475860.633,337413.251,2231.053
43385,4475863.021,337427.502,2232.209
43386,4475865.203,337441.004,2233.578
43387,4475866.837,337454.15,2234.637
43388,4475868.581,337468.926,2235.334
43389,4475869.437,337483.304,2236.186
43390,4475870.988,337496.529,2237.076
43391,4475871.927,337511.365,2237.443
43392,4475874.241,337527.064,2238.29
43393,4475876.492,337541.827,2239.145
43394,4475875.934,337557.423,2239.327
43395,4475880.125,337576.28,2238.983
43396,4475883.586,337591.403,2238.002
