calibrsation,4476058.735,336553.604,2166.900,
calibration-01,4476058.734,336553.606,2166.902,
B,4476057.001,336550.855,2166.145,
tp,4476058.741,336553.606,2166.902,
test,4476058.691,336553.258,2166.895,
43522,4476073.091,339362.939,2180.679,
43521,4476082.643,339356.101,2180.693,
43520,4476088.339,339344.959,2181.324,
43519,4476091.528,339331.539,2181.140,
43518,4476093.376,339315.690,2181.653,
43517,4476095.372,339300.219,2181.420,
43516,4476095.993,339286.724,2181.095,
43515,4476095.557,339273.624,2180.603,
43514,4476095.154,339257.956,2180.686,
43513,4476096.371,339242.454,2180.580,
