Label,Northing,Easting,Elevation
43311,4476074.998,336438.375,2156.272
43310,4476071.884,336423.173,2155.385
43309,4476063.967,336411.499,2153.996
43308,4476056.232,336396.852,2153.052
43307,4476049.75,336384.857,2152.753
43306,4476040.855,336372.671,2152.812
43305,4476032.104,336360.985,2152.723
43304,4476022.724,336349.115,2152.629
43303,4476012.779,336337.888,2152.099
43302,4476002.376,336326.382,2151.857
43301,4475990.91,336314.003,2150.747
43299,4475961.971,336292.026,2148.549
43298,4475956.364,336264.003,2146.338
43300-0,4475947.784,336250.067,2144.764
43296,4475936.281,336235.069,2143.789
43295,4475927.755,336223.727,2143.499
43294,4475919.823,336212.576,2143.577
43293,4475911.381,336200.153,2143.979
43292,4475903.422,336187.063,2144.723
43291,4475895.146,336175.31,2144.451
43290,4475890.165,336161.881,2144.394
43289,4475970.491,336304.832,2149.611
43288,4475888.092,336147.964,2144.468
43287,4475886.255,336132.523,2143.746
43286,4475887.421,336116.918,2143.648
43285,4475888.438,336102.482,2142.954
43284,4475889.961,336088.588,2142.389
43283,4475892.628,336073.03,2141.648
43282,4475895.485,336059.574,2141.103
43281,4475898.62,336045.085,2140.166
43280,4475902.272,336030.717,2139.102
43279,4475906.468,336016.463,2138.002
43278,4475912.607,336001.616,2137.243
43277,4475919.112,335987.945,2136.661
43276,4475926.611,335974.695,2136.022
43275,4475935.173,335960.544,2135.338
43274,4475943.334,335948.841,2134.722
43273,4475951.127,335937.777,2134.071
43272,4475959.972,335924.421,2133.411
43271,4475968.299,335913.488,2132.46
43270,4475976.609,335901.695,2131.618
43269,4475986.241,335888.073,2130.525
43268,4475994.167,335876.978,2129.824
43267,4476002.178,335864.826,2128.974
43266,4476011.312,335852.552,2127.903
43265,4476021.924,335838.854,2126.873
43264,4476029.023,335828.749,2125.903
43263,4476037.017,335817.173,2124.886
43262,4476047.266,335803.672,2123.556
43261,4476054.331,335793.402,2123.017
43260,4476065.882,335777.742,2122.269
43259,4476074.565,335764.201,2121.633
43258,4476082.794,335751.049,2121.173
43257,4476089.674,335740.078,2120.527
43256,4476097.607,335728.2,2119.897
43255,4476107.031,335713.812,2118.931
43254,4476114.073,335702.656,2118.194
43253,4476121.697,335690.823,2117.425
43252,4476128.977,335678.397,2116.864
43251,4476140.076,335663.1,2116.643
43250,4476146.863,335655.158,2116.697
43249,4476157.207,335643.123,2116.674
43248,4476165.666,335631.526,2116.597
43247,4476177.134,335618.663,2116.012
43246,4476187.936,335609.425,2115.109
43244,4476215.501,335594.984,2113.779
43243,4476228.267,335593.178,2113.483
43242,4476243.392,335592.341,2113.216
43241,4476260.609,335593.495,2113.156
43240,4476274.718,335594.784,2113.106
43239,4476290.188,335596.315,2113.02
43235,4476350.513,335591.985,2112.601
43235-0,4476352.367,335601.016,2110.852
43234,4476367.514,335602.353,2110.372
43233,4476383.377,335603.806,2109.882
43232,4476395.626,335604.752,2109.567
43231,4476408.536,335605.627,2109.263
43230,4476424.589,335606.98,2108.833
43229,4476441.315,335608.039,2108.399
